# Constructed from biom file
#OTU ID	HBC	HCY	HY	HCN	C2_M	HAK	HCB	HCT	HBD	HAD	C10_M	HBI	C23_M	C13_M	C3_M	HCH	C24_M	HT	HDE	HCW	HK	C22_M	HCA	HF	HDB	C6_M	HCR	HAF	HBH	HBZ	HBJ	HAV	HBY	HM	HBR	HO	C19_M	HJ	HCJ	HAZ	HBL	HZ	HQ	HCQ	HDC	C9_M	C16_M	HP	HR	HCP	HL	HBG	HE	HAO	HAN	C7_M	HAE	HN	HU	HA	HAR	HAC	HCK	HAX	C4_M	C15_M	HCZ	HBB	HAL	HCO	HAG	HI	HDD	HDA	HBE	HBA	HBM	C14_M	HBF	HW	HCM	HBK	HC	HD	HG	HAA	C5_M	HAB	HAI	HBW	HAM	HCF	HAJ	C25_M	HBV	HAT	HCV	HCI	HAU	HCL	HS	HB	HCD	HCU	HAH	HAP	HV	HDF
93db8847998fde0d26f121170999b93f	0	0	0	0	0	13	0	0	1205	13	222	0	0	386	0	0	0	0	0	79	0	679	464	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11385	0	1980	8	0	66	0	8	0	0	0	0	0	0	8	0	0	0	3632	0	143	0	0	0	0	26	268	85	0	5	0	0	0	0	26	0	0	4	0	0	2	0	1631	0	0	0	22	15	0	0	0	0	10	2	0	0	0	3	0	0	0	0	0	0	0
232974013585cf0ae326ddc440d2acb4	0	0	0	0	0	13	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f669aaa73d8938b3d8409a237ef2c154	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4866034262fe7d7ee1b7d2aa6afb52ee	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0
6853c550c6b192f88cf5bf033f47e046	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e3e0ba4bbe3a047b15dac7046b822403	0	0	0	0	0	11	2	0	3	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	71	0	0	2	0	0	0	0	0	2	0	0	61	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	2	0	0	0	0	0	0	0	2	79	0	0	0	0	0	0	15	0	0	0	0	0	0	0	10	37	0	0	0	0	0	0	0	0	0	0	0
50a8fcf78bb6f64f40300a700b5865a4	0	0	0	0	0	11	0	0	0	0	0	0	0	189	0	0	77	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	7	223	0	94	0	103	0	0	0	45	297	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	17	39	0	0	3	0	0	0	0	7	0	62	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	221	5	3	0	0	2	0	0	2	0	1	0	0
b9847cc50fc12ec873ee01f3866010e6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	2	0	0	0	1	15	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
a4659714f51ddd5267dba7142554a7bf	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	22	0	0	0	0	0	0	0	0	0	0	0
573fac3f80c3bcb4f512477e9734c46c	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
