sequence	16S_rRNA_Count	metadata_NSTI
51325e8fba6a2f37c9425f090d8bc70d	1	0.043493000000000004
87f9e52435c4a2b72b2668d53c331b41	3	0.014893
63fd06caf28812da6ae33c17e3842b64	3	0.010716
6a7bcac57346c26c262d1c57876cd336	1	0.010277
7bdf9acdbebd659f427395299cd42229	1	0.057188
14bd82d934fdcdc3d17105e0523c84cf	1	0.039633999999999996
a15b1bd1391f23301682ef5b5aa7d7db	1	0.027694
13e6b7bf5b9333d979fb822f42ec5e8d	1	0.033486
a24cb3b7433f5c45dd1c4cf1e845e3b4	1	0.033558
3e9307e1be1bdbf16eedf586e8d62701	1	0.033701
3da127615e66056ea3394ee59cfb3868	1	0.032622000000000005
954c9b63afd5c7bdfecacadf55fcce6a	1	0.03967
eb561565eb3bc6263396a28bfaf197c4	3	0.039081
445b1d1791f126c43dc8d2bbcc137f26	3	0.03433
3738cffede218612606fe24679f33504	3	0.033329000000000004
b4e34980112fb36eab042936ebc5593f	1	0.039487
0ff7072822c3b93d4f8c0102af9aee2d	1	0.034449
7351bebbee18240fd147a1261ba30e38	1	0.045732
bd5682e9a8233ea5c31abcce4c158bc3	1	0.064299
db37294c5c7685f7b9d41fe7bacb173d	1	0.039388
eaad580b63cd7c4aa19ef426174f3f20	1	0.045292
59d59e1ad3195371ef11971ae7b12aca	1	0.034698
deb1caac642636dbf9f22d1d5aad6805	1	0.038403
832a568621a8ed1243c604020d01a1c7	1	0.06887599999999999
3280f40924209f9a3ab4a6da2caadec0	1	0.06166
e7ebf7828f18cd4fb8f1e54eb7170305	1	0.015762
e072562173720122f1834f467ee6536f	1	0.025113
313e94b297ce95e1f578b89bd1ff7fcc	1	0.029345
32d941ad03f052afc559bb4553a49112	1	0.070384
78f72022d5bed693fc6d0faa6f90e9eb	1	0.06756000000000001
2d7b1fa374aa5755d46c0ae43e464216	1	0.064872
e95f46185658dfc939bdfbdac83cde0f	1	0.057408
85f22177ee33f77455f843b717d16910	1	0.037860000000000005
3278c65285b905c9ac13c085c8ccae6f	1	0.037614
ff278561a4b3aaa29505ba371fc3b7b0	1	0.066152
15b45570a5f89b955e181dfbfe416386	1	0.032139999999999995
016d593fe4673564211039d97de3ad7c	1	0.027891000000000003
4acdcf28a7d601c5133eeb6c07af3abf	1	0.030483
f80e3fbc4faf673e5a30078daf7b385f	1	0.030099
0ad651f87ce301d4c8fd2d429bde3cb6	1	0.031372000000000004
3f011ea884cc73df869b38516cbeb724	4	0.053267999999999996
63ef380eb4b1d2528677a4fb942ec59b	4	0.070313
2dee88bf2c68dd61da6b682cc16a0fa8	4	0.081445
666161ef39caa5fe43ce93cd2f05524d	4	0.046909
4dcf03b7bd0fcd695f1301c01657e255	4	0.06192999999999999
a36b2f53acf0d3adc765111e2deb4246	1	0.06743500000000001
1220fdeff393323b33fc1ed88b9e4885	1	0.067993
0f3d3b9b17be076afaa4f0a7dc27b0ac	1	0.07318
750d4c4eb04261d0ca0ba9f66440699f	1	0.062949
da469be18a82c561fb4fc686b7df3f77	1	0.08025299999999999
33e7d9882884f65714fb2ae7959257e2	1	0.074518
8017ebd7b0fe2cae35394bf70ba82284	1	0.13733900000000002
2960b5efe3e1e823ac1fbcab1af479c0	1	0.13733900000000002
723d0eec7654b917bbede13cdef6deef	1	0.062116
39eec2dcfde4d44602bb588b66a61bf6	1	0.141894
484dda3856123f4af04b314e291bb77b	1	0.016751
b8e2b3067316d1e1b6360a4bab82980c	1	0.048108
3781ef6b846186e03f7512e1854f342c	1	0.027444999999999997
53091c6c9220727581b97ddb15b01f9d	1	0.027444999999999997
23aaadc7e0e99d7fb7e5f14a8c971391	1	0.040729
d640adf1c49a5ddfad5d068e353b43fc	1	0.05401
eeeb9689826e895e8c8252b9a68d405e	1	0.045404
9842907159e40ae6e522347674061f4d	1	0.051526
9c0f7d86f32e3dbf0fd9ee90ad5575e4	1	0.026291000000000002
977395cf5fd19de6ed2181c25e79ae26	1	0.031242000000000002
0cf780a437e9a4e00ca8af85ac29ac82	1	0.021159999999999998
5e43a0756c2394a8eddcfe67f54342ab	1	0.020037
e79a49a3e04fda77406087ef8022db62	1	0.025691000000000002
8275b16a74aeb6e1aee49ef89a0be8bb	1	0.020511
06422518c4b420e13b9d85ae099d1f5d	1	0.021879
b9ca5f5382434f3042b6ecd29d8baf20	1	0.025595
d550c0fcdfb91e388dd6d78a3eaa5e75	1	0.020037
ff3aba87bebaf1d821059a20b4c8eafe	1	0.020511
608609390841330187279c5789981cef	1	0.020511
c9eaa481690af33699190244d1633e73	1	0.068088
27ff47d10320295981e65be85638ac0e	1	0.062753
b0d59790ee03e7583038088a2ad01cfe	1	0.055925
a1f8dcd480d1d36337bfee8f6e55db58	1	0.055925
32602585912279009224b3a635efb1d5	1	0.055889999999999995
3846e8f912a244a89641e2a3de0628af	1	0.042571
528b6d9a954186331dec3c4f98de193d	1	0.049096
d3dfaf22e456a234a4a05ac28ae7e28f	1	0.049096
5d4df9de8207d52060c66758198d9207	1	0.056715999999999996
2944cd42b0a0b5b50f4879861732f329	1	0.035171
88af55fc818da0328e8fb9af6d86d5e2	1	0.049225
428b1a83b0c33c664aa0c0a11279a466	1	0.062736
