	mean_EC
EC:1.14.13.82	0.4463
EC:1.14.13.83	0.15935
EC:1.14.13.84	0.0339
EC:1.14.13.9	0.06085
EC:1.14.13.90	5e-05
EC:1.14.13.92	0.00105
EC:1.14.14.1	0.1295
EC:1.14.14.11	0.0013
EC:1.14.14.12	0.0881
EC:1.14.14.13	0.00025
EC:1.14.14.3	0.00605
EC:1.14.14.5	0.6232
EC:1.14.14.8	0.0091
EC:1.14.14.9	0.21285
EC:1.14.15.11	0.0147
EC:1.14.15.12	0.01025
EC:1.14.15.13	0.0195
EC:1.14.15.3	0.17145
EC:1.14.15.7	0.07375
EC:1.14.15.9	0.007
EC:1.14.16.1	0.21415
EC:1.14.16.2	0.00015
EC:1.14.16.5	2e-04
EC:1.14.17.1	5e-05
EC:1.14.17.3	0.00265
EC:1.14.17.4	5e-05
EC:1.14.18.1	0.056
EC:1.14.18.2	0.00155
EC:1.14.18.3	0.0129
EC:1.14.18.6	0.00115
EC:1.14.18.7	0.00055
EC:1.14.19.1	0.3298
EC:1.14.19.2	0.15735
EC:1.14.19.20	0.00575
EC:1.14.19.3	0.20505
EC:1.14.19.4	5e-05
EC:1.14.19.8	0.01035
EC:1.14.19.9	0.15015
EC:1.14.20.1	0.00065
EC:1.14.20.3	0.00195
EC:1.14.21.7	0.00615
EC:1.14.21.9	0.00955
EC:1.14.99.1	0.0079
EC:1.14.99.29	0.00145
EC:1.14.99.39	0.0129
EC:1.14.99.44	0.03865
EC:1.14.99.46	0.1433
EC:1.14.99.48	0.09175
EC:1.14.99.50	0.07145
EC:1.15.1.1	1.8327
EC:1.15.1.2	0.0899
EC:1.16.1.1	0.1248
EC:1.16.1.10	0.00145
EC:1.16.1.3	0.1847
EC:1.16.1.9	0.12375
EC:1.16.3.1	0.75425
EC:1.16.3.2	0.42575
EC:1.16.8.1	0.0238
EC:1.17.1.1	0.19255
EC:1.17.1.2	0.8687
EC:1.17.1.3	5e-05
EC:1.17.1.4	1.1752
EC:1.17.1.8	1.0755
EC:1.17.2.1	0.0986
EC:1.17.3.2	0.00365
EC:1.17.4.1	2.54585
EC:1.17.4.2	0.60455
EC:1.17.5.1	0.0018
EC:1.17.7.1	0.82405
EC:1.17.7.2	2e-04
EC:1.17.7.3	0.82405
EC:1.17.99.1	0.0375
EC:1.17.99.2	0.0012
EC:1.17.99.6	0.65225
EC:1.18.1.1	0.1025
EC:1.18.1.2	0.8544
EC:1.18.1.3	0.3956
EC:1.18.1.6	1e-04
EC:1.18.1.7	0.0148
EC:1.18.6.1	0.312
EC:1.2.1.10	0.6784
EC:1.2.1.11	1.09905
EC:1.2.1.12	1.62565
EC:1.2.1.16	1.61045
EC:1.2.1.18	0.7192
EC:1.2.1.19	0.20055
EC:1.2.1.2	1.5207
EC:1.2.1.20	1.4437
EC:1.2.1.21	0.17565
EC:1.2.1.22	0.1796
EC:1.2.1.24	0.1701
EC:1.2.1.26	0.0036
EC:1.2.1.27	0.7192
EC:1.2.1.28	0.09495
EC:1.2.1.3	1.59615
EC:1.2.1.31	2e-04
EC:1.2.1.32	0.08115
EC:1.2.1.38	0.86145
EC:1.2.1.39	0.247
EC:1.2.1.4	0.33905
EC:1.2.1.41	0.8712
EC:1.2.1.43	0.03725
EC:1.2.1.44	1e-04
EC:1.2.1.46	0.1358
EC:1.2.1.47	5e-05
EC:1.2.1.5	0.019
EC:1.2.1.50	0.0036
EC:1.2.1.54	0.0715
EC:1.2.1.58	0.0101
EC:1.2.1.59	0.05005
EC:1.2.1.60	0.19005
EC:1.2.1.62	0.00035
EC:1.2.1.65	0.0016
EC:1.2.1.68	0.2388
EC:1.2.1.70	0.75355
EC:1.2.1.71	0.30375
EC:1.2.1.72	0.23765
EC:1.2.1.73	0.00065
EC:1.2.1.75	0.00355
EC:1.2.1.76	0.01445
EC:1.2.1.77	0.0093
EC:1.2.1.78	0.00255
EC:1.2.1.79	1.4437
EC:1.2.1.8	0.69405
EC:1.2.1.80	0.01175
EC:1.2.1.81	0.02215
EC:1.2.1.83	6e-04
EC:1.2.1.84	0.00025
EC:1.2.1.85	0.08115
EC:1.2.1.86	0.0012
EC:1.2.1.87	0.13195
EC:1.2.1.88	0.7892
EC:1.2.1.89	8e-04
EC:1.2.1.9	0.13865
EC:1.2.1.90	0.0058
EC:1.2.1.91	0.16745
EC:1.2.3.1	5e-05
